Localidade,Ano,Quantidade de OCORRENCIAS por Homicidio Doloso,Taxa por 100 mil Ocorrências de Homicídio Doloso,Quantidade de VITIMAS por Homicio Doloso,Taxa por 100 mil Vitímas de Homicídio Doloso,Diferença: Taxa de Vitímas menos Taxa de Ocorrências (QUANTIDADE),Diferença: Taxa de Vitímas menos Taxa de Ocorrências (PORCENTAGEM)
Estado de São Paulo,2001,12654,33.3,13322.8,35.06,668.8,1.76
Estado de São Paulo,2002,11875,31.25,12562.8,33.06,687.8,1.81
Estado de São Paulo,2003,10856.6,28.57,11411.4,30.03,554.8,1.46
Estado de São Paulo,2004,8580.4,22.58,9177,24.15,596.6,1.57
Estado de São Paulo,2005,6859,18.05,7360.6,19.37,501.6,1.32
Estado de São Paulo,2006,5810.2,15.29,6289,16.55,478.8,1.27
Estado de São Paulo,2007,4632.2,12.19,4894.4,12.88,262.2,0.69
Estado de São Paulo,2008,4164.8,10.96,4415.6,11.62,250.8,0.65
Estado de São Paulo,2009,4248.4,11.18,4453.6,11.72,205.2,0.54
Estado de São Paulo,2010,3986.2,10.49,4187.6,11.02,201.4,0.53
Estado de São Paulo,2011,4435.2,10.08,4659.6,10.59,224.4,0.51
Estado de São Paulo,2012,5073.2,11.53,5464.8,12.42,391.6,0.89
Estado de São Paulo,2013,4620,10.5,4928,11.2,308,0.7
Estado de São Paulo,2014,4426.4,10.06,4668.4,10.61,242,0.55
Estado de São Paulo,2015,3841.2,8.73,4052.4,9.21,211.2,0.48
Estado de São Paulo,2016,3572.8,8.12,3726.8,8.47,154,0.35
Estado de São Paulo,2017,3317.6,7.54,3528.8,8.02,211.2,0.48
Estado de São Paulo,2018,2948,6.7,3106.4,7.06,158.4,0.36
Estado de São Paulo,2019,2758.8,6.27,2886.4,6.56,127.6,0.29
Capital,2001,5407.6,49.16,5709,51.9,301.4,2.75
Capital,2002,4799.3,43.63,5049,45.9,249.7,2.27
Capital,2003,4396.7,39.97,4628.8,42.08,232.1,2.11
Capital,2004,3429.8,31.18,3659.7,33.27,229.9,2.09
Capital,2005,2498.1,22.71,2717,24.7,218.9,1.99
Capital,2006,1991,18.1,2200,20,209,1.9
Capital,2007,1535.6,13.96,1645.6,14.96,110,1
Capital,2008,1251.8,11.38,1311.2,11.92,59.4,0.53
Capital,2009,1215.5,11.05,1278.2,11.62,62.7,0.57
Capital,2010,1169.3,10.63,1235.3,11.23,66,0.6
Capital,2011,1081.2,9.01,1134,9.45,52.8,0.44
Capital,2012,1442.4,12.02,1579.2,13.16,136.8,1.13
Capital,2013,1232.4,10.27,1315.2,10.96,82.8,0.7
Capital,2014,1178.4,9.82,1248,10.4,69.6,0.57
Capital,2015,1027.2,8.56,1095.6,9.13,68.4,0.57
Capital,2016,870,7.25,914.4,7.62,44.4,0.37
Capital,2017,732,6.1,796.8,6.64,64.8,0.55
Capital,2018,687.6,5.73,738,6.15,50.4,0.43
Capital,2019,660,5.5,696,5.8,36,0.3
Gande São Paulo,2001,45.31,8608.9,9040.2,47.58,431.3,2.27
Gande São Paulo,2002,43.38,8242.2,8810.3,46.37,568.1,3
Gande São Paulo,2003,39.06,7421.4,7892.6,41.54,471.2,2.48
Gande São Paulo,2004,27.88,5297.2,5943.2,31.28,646,3.4
Gande São Paulo,2005,23.98,4556.2,5029.3,26.47,473.1,2.49
Gande São Paulo,2006,21.18,4024.2,4493.5,23.65,469.3,2.47
Gande São Paulo,2007,17.13,3254.7,3486.5,18.35,231.8,1.22
Gande São Paulo,2008,16.37,3110.3,3391.5,17.85,281.2,1.48
Gande São Paulo,2009,14.45,2745.5,2948.8,15.52,203.3,1.07
Gande São Paulo,2010,12.23,2323.7,2468.1,12.99,144.4,0.76
Gande São Paulo,2011,12.64,2780.8,2950.2,13.41,169.4,0.78
Gande São Paulo,2012,13.75,3025,3326.4,15.12,301.4,1.36
Gande São Paulo,2013,12.51,2752.2,3022.8,13.74,270.6,1.23
Gande São Paulo,2014,12.13,2668.6,2875.4,13.07,206.8,0.93
Gande São Paulo,2015,10.15,2233,2415.6,10.98,182.6,0.84
Gande São Paulo,2016,8.46,1861.2,1951.4,8.87,90.2,0.41
Gande São Paulo,2017,9.02,1984.4,2098.8,9.54,114.4,0.52
Gande São Paulo,2018,7.35,1617,1724.8,7.84,107.8,0.49
Gande São Paulo,2019,6.16,1355.2,1425.6,6.48,70.4,0.32
Interior,2001,1402.1,20.03,1473.5,21.05,71.4,1.02
Interior,2002,1389.5,19.85,1465.8,20.94,76.3,1.09
Interior,2003,1285.2,18.36,1334.2,19.06,49,0.7
Interior,2004,1113,15.9,1154.3,16.49,41.3,0.59
